Index,PubmedID,Condition,Study
1,26705428,myocardial infarction,"Guarrera S, Fiorito G, et al. Gene-specific DNA methylation profiles and LINE-1 hypomethylation are associated with myocardial infarction risk. Clin Epigenetics. 2015 Dec 24;7:133. doi: 10.1186/s13148-015-0164-3. PMID: 26705428; PMCID: PMC4690365."
2,31615550,cardiovascular disease risk,"Westerman K, Sebastiani P, at al. DNA methylation modules associate with incident cardiovascular disease and cumulative risk factor exposure. Clin Epigenetics. 2019 Oct 15;11(1):142. doi: 10.1186/s13148-019-0705-2. PMID: 31615550; PMCID: PMC6792327."
3,31424985,future risk of myocardial infarction and coronary heart disease,"Agha G, Mendelson MM, et al. Blood Leukocyte DNA Methylation Predicts Risk of Future Myocardial Infarction and Coronary Heart Disease. Circulation. 2019 Aug 20;140(8):645-657. doi: 10.1161/CIRCULATIONAHA.118.039357. Epub 2019 Aug 19. PMID: 31424985; PMCID: PMC6812683."
4,34347013,incident of heart coronary disease,"Navas-Acien A, Domingo-Relloso A, et al. Blood DNA Methylation and Incident Coronary Heart Disease: Evidence From the Strong Heart Study. JAMA Cardiol. 2021 Nov 1;6(11):1237-1246. doi: 10.1001/jamacardio.2021.2704. PMID: 34347013; PMCID: PMC8340006."
5,34515027,incident of heart coronary disease,"Si J, Yang S, et al. Epigenome-wide analysis of DNA methylation and coronary heart disease: a nested case-control study. Elife. 2021 Sep 13;10:e68671. doi: 10.7554/eLife.68671. PMID: 34515027; PMCID: PMC8585480."
6,28515798,myocardial infarction,"Nakatochi M, Ichihara S, et al. Epigenome-wide association of myocardial infarction with DNA methylation sites at loci related to cardiovascular disease. Clin Epigenetics. 2017 May 15;9:54. doi: 10.1186/s13148-017-0353-3. PMID: 28515798; PMCID: PMC5432989."
7,28172975,myocardial infarction,"Rask-Andersen M, Martinsson D, et al. Epigenome-wide association study reveals differential DNA methylation in individuals with a history of myocardial infarction. Hum Mol Genet. 2016 Nov 1;25(21):4739-4748. doi: 10.1093/hmg/ddw302. PMID: 28172975."
8,24582973,coronary artery disease,"Sharma P, Garg G, et al. Genome wide DNA methylation profiling for epigenetic alteration in coronary artery disease patients. Gene. 2014 May 10;541(1):31-40. doi: 10.1016/j.gene.2014.02.034. Epub 2014 Feb 26. PMID: 24582973."
9,29326313,risk of coronary heart disease,"Fernández-Sanlés A, Sayols-Baixeras S, et al. DNA Methylation and Age-Independent Cardiovascular Risk, an Epigenome-Wide Approach: The REGICOR Study (REgistre GIroní del COR). Arterioscler Thromb Vasc Biol. 2018 Mar;38(3):645-652. doi: 10.1161/ATVBAHA.117.310340. Epub 2018 Jan 11. PMID: 29326313; PMCID: PMC5823770."
10,28348007,acute coronary syndrome,"Li J, Zhu X, et al. Genome-Wide Analysis of DNA Methylation and Acute Coronary Syndrome. Circ Res. 2017 May 26;120(11):1754-1767. doi: 10.1161/CIRCRESAHA.116.310324. Epub 2017 Mar 27. PMID: 28348007."
11,28213390,coronary heart disease,"Hedman AK, Mendelson MM, et al. Epigenetic Patterns in Blood Associated With Lipid Traits Predict Incident Coronary Heart Disease Events and Are Enriched for Results From Genome-Wide Association Studies. Circ Cardiovasc Genet. 2017 Jan;10(1):e001487. doi: 10.1161/CIRCGENETICS.116.001487. PMID: 28213390; PMCID: PMC5331877."
12,32618141,coronary artery disease,"Bain CR, Ziemann M, et al. DNA methylation patterns from peripheral blood separate coronary artery disease patients with and without heart failure. ESC Heart Fail. 2020 Oct;7(5):2468-2478. doi: 10.1002/ehf2.12810. Epub 2020 Jul 2. PMID: 32618141; PMCID: PMC7524212."
